JOHNNY SEVEN
JOHN WAYNE
JOHNNY SHIEFFIELD
JOHNNY WEISSMULLER
JOE MONTEGNA
JONATHAN BANKS
JONATHAN PRICE
JOSE FERRER
JOSEPH CAMPANELLA
JOSEPH COTTEN
JOSEPH WISEMAN
JOSH BROLIN
JOSS ACKLAND
JUAN LUIS GALIARDO
JULIAN SANDS
JURGEN PROCHNOW
KARL MALDEN
KARLHEINZ BOHM
KEANU REEVES
KENT SMITH
KEVIN BACON
KEVIN COSTNER
KEVIN MCCARTHY  
KIRK DOUGLAS
KLAUS KINSKY
KRIS KRISTOFFERSON
KURT RUSSELL
LANCE LEGAULT
LARRY HAGMAN
LAURENCE HARVEY
LAUREL ET HARDY
LEE SUN-KYUN
LEO G CARROLL 
LEE J COBB
LEE MARVIN
LEE MAJORS
LEE VAN CLEEF
LEONARDO DI CAPRIO
LEONARD STONE
LIAM CUNNINGHAM
LIONEL JEFFRIES
LIONEL STANDER
LEO GORDON
LEONARD NIMOY
L.Q.JONES
LESLIE NIELSEN
LIAM NEESON
LLYOD BRIDGES
LLYOD BOCHNER
LUKE ASKEW
LUKE PERRY
MADS MIKKELSEN
MALACHI THRONE
MARCELLO MASTROIANNI
MARK MARGOLIS 
MARK STRONG
MARLON BRANDO
MARSHALL TEAGUE
MARSHALL THOMPSON
MARTIN FREEMAN
MARTIN LANDAU
MARTIN MILNER
MARTIN SHEEN
MATHIEU CARRIERE
MATT DAMON
MATTHEW BRODERICK
MATTHEW PERRY
MAURY CHAYKIN
MAX VON SYDOW
MEL FERRER
MEL GIBSON
MELVYN DOUGLAS
MICHAEL ANSARA
MICHAEL CAINE
MICHAEL CLARKE DUNCAN l
MICHAEL CONRAD
MICHAEL DOUGLAS
MICHAEL GAMBON
MICHAEL MALONEY 
MICHAEL MORIARTY
MICHAEL J POLLARD
MICHAEL NYQVIST 
MICHAEL IRONSIDE
MICHAEL PATE
MICHAEL RENNIE
MICHAEL ROOKER
MICHAEL SARRAZIN
MICKEY ROONEY
MIGUEL FERRER
MIKE CONNORS
MIKE KELLIN
MITCHELL RYAN
MONTGOMERY CLIFT
MURRAY HAMILTON
NATHANIEL PARKER
NEHEMIAH PERSOFF
NEIL MCCARTHY
NEVILLE BRAND
NICK NOLTE
NICOLAS CAGE
NICOL WILLIAMSON
NIGEL DAVENPORT
NIGEL HAWTHORNE
NINO CASTELNUOVO
NINO MANFREDI
NORMAN LLYOD
OMAR SHARIF
ORSON WELLES
OSKAR WERNER
O.W FISCHER
PAT HINGLE
PATRICK DEMPSEY
PATRICK SWAYZE
PAUL BRINEGAR
PAUL CARR
PAUL SORVINO
PAUL STEWART
PEDRO ARMENDARIZ JR
PERNELL ROBERTS
PETER DINKLAGE
PETER FALK
PETER FINCH
PETER GRAVES
PETER LAWFORD
PETER MARK RICHMAN
PETER O'TOOLE
PETER SELLERS
PETER WHITNEY
PETE POSTLETHWAITE
PETER USTINOV
PHILIP MADOC
PHILIP SEYMOUR HOFFMAN
PHIL DAVIS
PIERCE  BROSNAN
POWERS BOOTHE
RAF VALLONE
RAY COLLINS
RAY MILLAND
RAYMOND BURR
RALPH FIENNES
RALPH MEEKER
RALPH WAITE
RAY DANTON
RED WEST
RENATO SALVATORI
RENE AUBERJONOIS
REX HARRISON
R.G.ARMSTRONG
RICARDO MONTALBAN
RICCARDO GARRONE
RICHARD ANDERSON
RICHARD BASEHART
RICHARD BENJAMIN
RICHARD BOONE
RICHARD BRADFORD
RICHARD BRIERS
RICHARD BURTON
RICHARD GERE
RICHARD CRENNA
RICHARD EGAN
RICHARD GRIFFITHS
RICHARD HARRIS
RICHARD KIEL
RICHARD LIBERTINI
RICHARD LYNCH
RICHARD MOLL
RICHARD ROUNDTREE
RICHARD TODD
RICHARD WIDMARK
RICKY NELSON
RIK BATTAGLIA
RIK MAYALL
RIP TORN
R.LEE.ERMEY
ROBBIE COLTRANE
ROBERT BLAKE
ROBERT CARRADINE
ROBERT CONRAD
ROBERT CULP
ROBERT DE NIRO
ROBERT DUVALL
ROBERT EASTON
ROBERT FORSTER
ROBERT HOGAN
ROBERT J.WILKE
ROBERT LOGGIA
ROBERT MITCHUM
ROBERT REDFORD
ROBERT RYAN
ROBERT SHAW
ROBERT STACK
ROBERT TAYLOR
ROBERT VAUGHN
ROBERT WAGNER
ROBERT WALKER
ROBIN WILLIAMS
ROBSON GREEN
ROCK HUDSON
RODDY MCDOWALL
ROD STEIGER
ROD TAYLOR
ROGER ALLAM
ROGER LLYOD-PARCK
ROGER MOORE
ROGER PIERRE
ROGER REES
RONALD PICKUP
RONALD REAGAN
ROSCOE LEE BROWNE
ROY SCHEIDER
RUSSELL CROWE
RUSSELL JOHNSON
RYAN O’NEAL
SAEED JAFFREY
SAM SARPONG 
SAM SHEPARD
SCOTT CAAN
SCOTT GLENN
SEAN BEAN
SERGIO FANTONI
SESSUE HAYAKAWA
SHERMAN HEMSLEY
SIDNEY POITIER
SID MELTON
SIMON MAcCORKINDALE
SIMON OAKLAND 
SIMON WARD
SLIM PICKENS
SOON-TEK OH  
SPENCER TRACY
STANLEY BAKER
STEPHEN DUNHAM
STEPHEN MC NALLY
STERLING HAYDEN
STEVE COCHRAN
STEVE FORREST
STEVE IHNAT
STEVE KANALY
STEVE MCQUEEN
STEVEN BAUER
STEVSTEVEEN BAUER
STEVEN HILLS
STEWART GRANGER
STUART WHITMAN
SULLIVAN STAPLETON
SYLVESTER STALLONE
TAB HUNTER
TED DE CORSIA
TELLY SAVALAS
TERENCE STAMP
THOMAS MITCHELL
TIMOTHY DALTON
TIMOTHY WEST
TIM PIGOTT-SMITH
TOMAS MILIAN
TOM BERENGER
TOM BOSLEY
TOM COURTENAY
TOM CRUISE
TOM SELLECK
TOM SIZEMORE
TOM WILKINSON
TONY CURTIS
TONY DANZA
TONY MUSANTE
TONY STEPHENS
TREAT WILLIAMS
TROY DENAHUE
TYRONE POWER
UGO TOGNAZZI
VADIM GLOWNA
VAN JOHNSON
VIC MORROW
VICTOR BUONO
VICTOR MCLAGLEN
VICTOR MATURE
VINCENT D'ONOFRIO
VINCENT PRICE
VIN DIESEL
VING RHAMES
VITTORIO GASSMAN
WALTER BRENNAN
WALTER GILLER
WALTER MATTHAU
WALTER PIDGEON
WARREN BEATTY
WARREN MITCHELL
WARREN OATES
WARREN STEVENS
WAYNE ROGERS
WENDELL COREY
WILLIAM BENDIX 
WILLIAM CAMPBELL
WILLIAM DEVANE
WILLEM DAFOE
WILLIAM FINLEY
WILLIAM HOLDEN
WILLIAM HALL MACY
WILLIAM HURT
WILLIAM SCHALLERT
WILLIAM SHATNER
WILLIAM SMITH
WILLIAM WEEDOM
YOSHIO HARADA
