JANE FONDA
JANE GREER
JANE RUSSELL
JANE SEYMOUR
JANET BROWN
JANET CARROLL
JANET LEIGH
JANET MACLACHLAN 
JAN STERLING
JANE WYMAN
JANIS PAIGE
JAYNE MEADOWS
JEAN ARTHUR
JEANETTE NOLAND
JEAN HARLOW
JEAN KENT
JEANNE COOPER
JEANNE CRAIN
JEANNE GOUPIL
JEANNE MOREAU
JEAN SEBERG
JEAN SIMMONS
JENNIFER ANISTON
JENNIFER CONNELLY
JENNIFER GARNER
JENNIFER JONES
JENNY CLEVE
JESSICA ALBA 
JESSICA CHASTAING
JESSICA LANGE
JESSICA WALTER
JOAN ALLEN
JOAN BENNETT
JOAN COLLINS
JOAN CRAWFORD
JOAN FONTAINE
JOAN LESLIE
JOANNA LUMLEY
JOANNE DRU
JODIE FOSTER
JOHN INGLE
JOSETTE DAY
JOSIANNE BALASKO
JO VAN FLEET
JUANITA MOORE
JUDITH ANDERSON
JUDITH MAGRE
JUDITH MALINA
JUDY DENCH
JUDY GARLAND
JULIANNE MOORE
JULIA ROBERTS
JULIE ADAMS
JULIE ANDREWS
JULIE CHRISTIE
JULIETTE BINOCHE
JULIETTE GRECO
JULIETTE LEWIS
JUNE ALLYSON
JUNE HAVER
JUNE LOCKHART
KAREN BLACK 
KARIN DOR
KATHARINE HEPBURN
KATHY BATES
KATHLEEN BYRON
KATHLEEN TURNER
KATHRYN GRAYSON
KATHRYN JOOSTEN
KATIE HOLMES
KATY JURADO
KEELEY HAWES
KELLY PRESTON
KIM CATTRALL
KIM NOVAK
KRISTIE ALLEY
KRYSTYNA JANDA
KRISTIN SCOTT THOMAS
KYRSTEN DUST
LANA TURNER
LARAINE DAY
LAURA ANTONELLI
LAURA BETTI
LAURA DERN
LAURA LINNEY
LAUREN BACALL
LAUREN HUTTON
LEA SEYDOUX
LEA THOMPSON
LEE GRANT
LEE REMICK
LENA HORNE
LESLEY ANN DOWN
LESLIE CARON
LILIAN HARVEY
LILLI PALMER
LINDA BELLINGHAM
LINDA CRISTAL
LINDA CHRISTIAN
LINDA DARNELL
LINDA DAY GEORGES
LINDA THORSON
LINDSAY WAGNER
LINE RENAUD
LISELOTTE PULVER
LIV TYLER
LIZABETH SCOTT
LIZA MINNELLI
LORELLA DEL LUCA
LORETTA YOUNG
LOUISE FLETCHER
LUCIA BOSE
LUCY GORDON
LUCY LIU
LUDMILA TCHERINA
LUPE ONTIVEROS
LYNN REDGRAVE
MACHA MERIL
MADELEINE LEBEAU
MADELEINE ROBINSON
MADELEINE SOLOGNE
MADELEINE STOWE
MAE WEST
MAGALI NOEL
MAGGIE SMITH
MALIN AKERMAN
MAMIE VAN DOREN
MARGARET FIELD
MARG HELGENBERGER
MARGOT KIDDER
MARIANGELA MELATO
MARCIA CROSS
MARIA MONTEZ
MARIA PACOME
MARIA PERSCHY
MARIA SCHELL
MARIA SCHNEIDER
